id,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-BR-A4CS-01A-11R-A24K-31,0.017642684,0,0.020409718,0.015341918,0,0.261175982,0.022012497,0,0.010072467,0,0,0,0.0521388,0.156384353,0.043180643,0.042865931,0,0.105207244,0,0.152757348,0,0.100810416
TCGA-HJ-7597-01A-21R-2203-13,0.015922308,0.040697787,0.038514336,0.300124293,0,0.051369382,0.050055383,0.004212879,0.142831491,0,0,0.087574402,0.001060706,0.056800365,0.135070623,0.037372118,0,0.000577337,0.030560404,0,0,0.007256184
TCGA-BR-4367-01A-01R-1157-13,0,0,0.089460084,0.089711484,0,0.167984507,0.034954978,0.040291915,0.034552274,0,0,0.008943077,0,0.149655736,0.106267954,0.190077644,0,0,0.030818387,0,0.023115464,0.034166497
TCGA-CG-4462-01A-01R-1157-13,0.042531951,0,0.004454792,0,0,0.189177062,0.014126913,0,0,0,0.05611894,0,0.009159452,0.055621196,0.00570609,0.212916127,0.037488196,0.046733596,0,0.069893601,0.04019048,0.215881603
TCGA-CG-5732-01A-11R-1602-13,0.050234161,0.032263696,0.179769983,0.153947581,0,0.191449472,0,0,0.116247526,0,0,0.001404503,0.005646176,0.093750744,0.011320418,0.055161818,0,0.016354491,0,0.078273637,0,0.014175797
TCGA-BR-8486-01A-31R-2402-13,0.046057086,0,0.040344935,0,0,0.277873602,0.064411659,0.050044729,0.079513962,0,0.031344906,0,0,0.291782558,0.023000116,0.059895357,0,0.012308276,0,0.023422814,0,0
TCGA-BR-8372-01A-11R-2343-13,0,0,0.020054089,0.209490988,0,0.040896158,0.180474828,0.047851404,0.013584655,0,0.003360372,0,0.002658418,0.112600359,0.09843394,0.167556856,0.063600781,0,0.03693148,0,0.002505674,0
TCGA-BR-8682-01A-11R-2402-13,0.014122387,0.014262309,0,0,0,0.173041817,0,0,0.070014765,0,0,0.051398176,0,0.425390542,0.028135464,0.14554005,0,0,0.078094489,0,0,0
TCGA-BR-4191-01A-02R-1131-13,0.024076915,0,0.029902615,0.066225771,0,0.160423167,0.081708677,0,0.020965848,0,0.025278955,0,0.055313995,0.054151431,0.043270512,0.212767778,0.119392344,0,0.025336443,0,0.069611835,0.011573713
TCGA-CG-5734-01A-11R-1602-13,0.008785127,0,0.151546562,0.079444117,0,0.11828305,0.049127385,0.0271215,0.062422746,0,0.042551055,0,0,0.220368068,0.058774924,0.090361528,0.024518897,0,0,0.043084801,0.020882055,0.002728187
TCGA-CG-4305-01A-01R-1157-13,0.086828671,0,0,0.074694715,0,0.164164972,0.149851126,0.007249918,0.014076902,0.067815135,0.014482687,0,0.002249483,0.028194242,0.117402301,0.219755048,0.008378863,0,0.040340384,0,0,0.004515555
TCGA-BR-7715-01A-11R-2055-13,0.047780656,0,0,0.048903914,0,0.187205231,0.002943083,0.037043319,0.027291733,0,0.006642147,0.000100278,0,0.467188159,0.0591316,0.099431731,0,0,0.016338147,0,0,0
TCGA-D7-A4YU-01A-21R-A251-31,0.044397543,0,0.091695622,0.117224243,0,0.122392615,0.089880005,0.019965904,0.094241558,0,0.038122565,0,0,0.093867307,0.147850579,0.094229047,0,0.003257457,0.039891503,0,0,0.00298405
TCGA-BR-6453-01A-11R-1802-13,0.129625279,0.150717398,0.039675952,0.121517589,0,0.072511675,0.014509417,0.02340836,0.09390517,0.013321847,0,0.045387005,0,0.078592968,4.84E-05,0.088845,0.034059992,0.035205716,0.053514107,0,0.005154119,0
TCGA-CD-8534-01A-11R-2343-13,0.094352454,0,0.040649986,0.097240806,0,0.160978621,0,0.004389597,0.097521047,0,0,0.018019454,0,0.092785931,0.105346634,0.199865102,0.013742557,0,0.075107812,0,0,0
TCGA-VQ-AA6F-01A-31R-A414-31,0.084249005,0.0707868,0.158182719,0.091548208,0,0.156926298,0,0.030528904,0.075892333,0,0,0.045666465,0,0.062070149,0.122794485,0.027955699,0,0.003563178,0.069835755,0,0,0
TCGA-ZA-A8F6-01A-23R-A36D-31,0.015722278,0,0,0.01999515,0,0.07885951,0,0,0.023729704,0,0,0.021050989,0,0.598526382,0.015430527,0.153398868,0,0,0.073286592,0,0,0
TCGA-HU-A4GC-01A-12R-A251-31,0.096269965,0,0.080316159,0.159538944,0,0.192886582,0.041785982,0.001717116,0.081675829,0,0.014555996,0.001825399,0.005134075,0.004648314,0.102861828,0.122311132,0.051552562,0,0.041722237,0,0,0.001197879
TCGA-CG-4304-01A-01R-1157-13,0.043244156,0,0.133559444,0.02253767,0,0.237567106,0.052120142,0,0,0,0.052799958,0,0,0.102404396,0.054218674,0.138264577,0.007297904,0.004455177,0,0.053143371,0,0.098387426
TCGA-3M-AB47-01A-22R-A414-31,0.056484484,0.007967967,0.142652707,0.067631781,0,0.408927927,0.009291617,0,0.067787351,0,0.014550465,0,0.001782849,0.067447678,0.019981269,0.103493133,0.013050803,0.00654734,0,0.012402627,0,0
TCGA-KB-A93J-01A-11R-A39E-31,0.039812091,0,0.038100399,0.083214968,0,0.127898085,0.017908918,0.025391025,0.085123162,0,0,0.030716403,0,0.16624804,0.12372545,0.199264833,0.028125862,0,0.034235144,0,0,0.000235618
TCGA-HU-A4GJ-01A-11R-A251-31,0.130946637,0.174078093,0.089872665,0.123253485,0,0.209252156,0.014059621,0.068078442,0.071263268,0.002019156,0,0,0,0.047421649,0,0.034176188,0,0.02443592,0,0.01114272,0,0
TCGA-FP-A8CX-01A-11R-A36D-31,0.022414074,0,0.187447107,0.115861233,0,0.204465904,0.001154025,0.015468195,0.089391148,0,0,0.030331776,0,0.125349861,0.06064473,0.098220486,0.024253016,0,0.013847007,0.011151438,0,0
TCGA-BR-8484-01A-11R-2402-13,0.044970997,0,0.029634384,0.046002907,0,0.241013481,0.016254159,0.040139753,0.06297276,0.025160911,0,0.01959221,0,0.182559755,0.0934256,0.143650958,0.017559343,0,0.034927801,0,0.002134981,0
TCGA-BR-4187-01A-01R-1131-13,0.040642653,0,0.002320956,0.059273868,0,0.166291041,0.021214395,0,0.022485985,0.062706635,0,0,0.010244544,0,0.019046558,0.275613945,0.00354318,0.009375631,0.20446361,0,0.048520704,0.054256295
TCGA-R5-A805-01A-11R-A36D-31,0,0.004171071,0,0.007411245,0,0.19965453,0,0,0.060241702,0,0.01741584,0,0.021426255,0.159235785,0.018977555,0.09615162,0,0.059327068,0,0.131878477,0,0.224108851
TCGA-D7-A6EY-01A-21R-A31P-31,0.086786837,0.028714181,0.027053244,0.107948287,0,0.216648593,0.03451738,0.048233079,0.076179523,0,0,0.034284277,0,0.088295873,0.103208908,0.078022523,0.013248893,0,0.034022934,0,0,0.022835467
TCGA-D7-A6EZ-01A-11R-A31P-31,0.033842066,0,0.020433465,0.172853596,0,0.028873345,0.107874457,0.014023495,0.032247902,0,0.032294168,0.014518283,0,0.198333351,0.111179737,0.148902416,0,0.026491703,0,0.05558252,0,0.002549495
TCGA-RD-A8N2-01A-12R-A36D-31,0.082253439,0,0,0.175548689,0,0.224383158,0.024755177,0,0.052736446,0,0,0.018031684,0.027404831,0,0.028024257,0.216645287,0.051349834,0.030083921,0.068783278,0,0,0
TCGA-FP-8209-01A-11R-2343-13,0.123366482,0.068980089,0,0.153956128,0,0.2610663,0.035137145,0,0.088231908,0,0,0,0.015048931,0.058183463,0.048324772,0.072330542,0.002056893,0,0.073317346,0,0,0
TCGA-D7-6521-01A-11R-1802-13,0.035150223,0.032791304,0.049522042,0.14725418,0,0.119351447,0.014307587,0.014062535,0.112562155,0,0.011292755,0,0.009886671,0.171136997,0.065876383,0.169518654,0.029879345,0,0.007626259,0.003410939,0.001150511,0.005220014
TCGA-BR-6456-01A-11R-1802-13,0.019175499,0,0,0.087584767,0,0.251797195,0.000368166,0.033864307,0.099979991,0,0,0.060919442,0.00561077,0.117483536,0.090095631,0.168792344,0.03027992,0,0.033079805,0.000968628,0,0
