,id,ac,km
160,TCGA-C5-A2LV-01A-11R-A18M-07,2,1
161,TCGA-VS-A8QF-01A-21R-A37O-07,3,4
162,TCGA-EA-A78R-01A-11R-A32P-07,2,3
163,TCGA-FU-A23L-01A-11R-A16R-07,4,0
164,TCGA-C5-A8YR-01A-12R-A37O-07,0,3
165,TCGA-EA-A5ZE-01A-11R-A28H-07,1,2
166,TCGA-C5-A7CG-01A-11R-A32P-07,4,0
167,TCGA-HM-A3JJ-01A-21R-A21T-07,1,2
168,TCGA-C5-A1MN-01A-11R-A14Y-07,2,1
169,TCGA-VS-A8EJ-01A-11R-A37O-07,3,4
170,TCGA-VS-A9UB-01A-22R-A42T-07,0,3
171,TCGA-JW-A5VK-01A-11R-A28H-07,3,1
172,TCGA-JW-AAVH-01A-11R-A38B-07,0,0
173,TCGA-EA-A3HS-01A-11R-A213-07,1,2
174,TCGA-C5-A2LY-01A-31R-A18M-07,0,3
175,TCGA-EA-A439-01A-11R-A24H-07,0,3
176,TCGA-C5-A1M9-01A-11R-A13Y-07,0,3
177,TCGA-VS-A94W-01A-12R-A37O-07,0,3
178,TCGA-R2-A69V-01A-11R-A32P-07,0,3
179,TCGA-LP-A4AU-01A-32R-A32Y-07,0,3
180,TCGA-VS-A8EK-01A-12R-A37O-07,3,4
181,TCGA-MU-A8JM-01A-11R-A36F-07,1,2
182,TCGA-EK-A2PL-01A-11R-A18M-07,0,0
183,TCGA-VS-A94Y-01A-11R-A38B-07,2,1
184,TCGA-C5-A902-01A-11R-A37O-07,4,0
185,TCGA-BI-A0VS-01A-11R-A10U-07,2,1
186,TCGA-DS-A1OD-01A-11R-A14Y-07,4,0
187,TCGA-ZJ-AAX4-01A-11R-A42T-07,2,1
188,TCGA-LP-A4AV-01A-11R-A32Y-07,0,3
189,TCGA-VS-A9UH-01A-11R-A42T-07,0,3
190,TCGA-4J-AA1J-01A-21R-A38B-07,2,1
191,TCGA-BI-A20A-01A-11R-A14Y-07,0,3
192,TCGA-JX-A3Q0-01A-11R-A32Y-07,1,2
193,TCGA-HM-A4S6-01A-11R-A26T-07,0,3
194,TCGA-MA-AA41-01A-11R-A38B-07,0,3
195,TCGA-UC-A7PG-06A-11R-A42S-07,0,3
196,TCGA-C5-A2LZ-01A-11R-A213-07,3,4
197,TCGA-C5-A1ME-01A-11R-A13Y-07,1,4
198,TCGA-VS-A9U5-01A-11R-A42T-07,0,3
199,TCGA-C5-A1MQ-01A-11R-A14Y-07,0,3
200,TCGA-MA-AA42-01A-12R-A38B-07,4,0
201,TCGA-EK-A2RJ-01A-11R-A18M-07,0,0
202,TCGA-ZJ-AAXN-01A-11R-A42T-07,0,3
203,TCGA-EX-A1H6-01B-11R-A22U-07,1,2
204,TCGA-JX-A3PZ-01A-11R-A32Y-07,0,1
205,TCGA-Q1-A6DT-01A-11R-A32P-07,2,1
206,TCGA-HM-A3JK-01A-11R-A32Y-07,1,1
207,TCGA-FU-A3TX-01A-11R-A22U-07,1,2
208,TCGA-DS-A1OC-01A-11R-A14Y-07,0,3
209,TCGA-MA-AA3W-01A-11R-A38B-07,0,0
210,TCGA-ZJ-AAXT-01A-11R-A42T-07,1,2
211,TCGA-VS-A957-01A-11R-A42T-07,2,1
212,TCGA-RA-A741-01A-11R-A33Z-07,3,2
213,TCGA-FU-A23K-01A-11R-A16R-07,3,3
214,TCGA-MA-AA3X-01A-22R-A42S-07,2,1
215,TCGA-XS-A8TJ-01A-11R-A36F-07,1,2
216,TCGA-EA-A410-01A-11R-A32Y-07,0,0
217,TCGA-VS-A8QA-01A-11R-A37O-07,0,3
218,TCGA-GH-A9DA-01A-21R-A37O-07,0,3
219,TCGA-VS-A8EI-01A-11R-A37O-07,0,3
220,TCGA-EX-A1H5-01A-31R-A13Y-07,3,4
221,TCGA-C5-A1MI-01A-11R-A14Y-07,1,2
222,TCGA-VS-A9V1-01A-11R-A42T-07,3,4
223,TCGA-ZJ-AAXU-01A-11R-A42T-07,3,4
224,TCGA-EA-A3Y4-01A-51R-A24H-07,4,0
225,TCGA-DS-A1OA-01A-11R-A14Y-07,1,2
226,TCGA-EA-A3HQ-01A-11R-A213-07,1,2
227,TCGA-DS-A3LQ-01A-21R-A21T-07,2,1
228,TCGA-Q1-A5R2-01A-11R-A28H-07,0,3
229,TCGA-C5-A1BL-01A-11R-A13Y-07,0,3
230,TCGA-Q1-A5R3-01A-11R-A28H-07,2,3
231,TCGA-FU-A3YQ-01A-11R-A22U-07,1,2
