,id,ac,km
209,TCGA-BP-4338-01A-01R-1289-07,2,3
210,TCGA-BP-4776-01A-01R-1289-07,1,4
211,TCGA-BP-5008-01A-01R-1334-07,1,2
212,TCGA-CJ-4900-01A-01R-1334-07,0,1
213,TCGA-BP-4986-01A-01R-1334-07,4,2
214,TCGA-B0-5113-01A-01R-1420-07,1,2
215,TCGA-CJ-4908-01A-01R-1426-07,4,4
216,TCGA-CZ-4866-01A-01R-1503-07,2,3
217,TCGA-B8-4621-01A-01R-1503-07,2,3
218,TCGA-B0-4697-01A-01R-1277-07,0,1
219,TCGA-B0-5690-01A-11R-1541-07,1,2
220,TCGA-BP-4992-01A-01R-1334-07,1,4
221,TCGA-B0-4691-01A-01R-1277-07,0,4
222,TCGA-B0-4703-01A-01R-1277-07,0,4
223,TCGA-A3-3380-01A-01R-0864-07,4,2
224,TCGA-CJ-4907-01A-01R-1426-07,4,2
225,TCGA-B8-4622-01A-02R-1277-07,4,2
226,TCGA-A3-3317-01A-02R-1325-07,4,2
227,TCGA-BP-5196-01A-01R-1426-07,0,1
228,TCGA-B8-A54D-01A-21R-A266-07,0,1
229,TCGA-B0-5702-01A-11R-1541-07,1,4
230,TCGA-DV-5573-01A-01R-1541-07,0,1
231,TCGA-CJ-5672-01A-11R-1541-07,0,1
232,TCGA-CJ-5677-01A-11R-1541-07,3,0
233,TCGA-A3-3351-01A-02R-1325-07,0,4
234,TCGA-BP-4975-01A-01R-1334-07,4,2
235,TCGA-B2-4098-01A-02R-1325-07,2,0
236,TCGA-BP-4346-01A-01R-1289-07,0,1
237,TCGA-B0-4839-01A-01R-1305-07,4,2
238,TCGA-CJ-5678-01A-11R-1541-07,0,1
239,TCGA-AK-3429-01A-02R-1325-07,0,1
240,TCGA-A3-3322-01A-02R-1325-07,2,3
241,TCGA-BP-4760-01A-02R-1420-07,3,0
242,TCGA-CW-5581-01A-02R-1541-07,1,2
243,TCGA-AK-3445-01A-02R-1277-07,4,2
244,TCGA-BP-4763-01A-01R-1289-07,1,2
245,TCGA-BP-5004-01A-01R-1334-07,3,0
246,TCGA-B2-4101-01A-02R-1277-07,1,2
247,TCGA-BP-4159-01A-02R-1289-07,4,2
248,TCGA-BP-4970-01A-01R-1334-07,1,2
249,TCGA-BP-4330-01A-01R-1289-07,0,1
250,TCGA-BP-4962-01A-01R-1334-07,0,1
251,TCGA-CJ-4889-01A-01R-1305-07,1,2
252,TCGA-CJ-4899-01A-01R-1334-07,2,3
253,TCGA-BP-4174-01A-02R-1289-07,4,2
254,TCGA-CJ-5682-01A-11R-1541-07,1,2
255,TCGA-GK-A6C7-01A-11R-A33J-07,1,2
256,TCGA-BP-4771-01A-01R-1289-07,0,1
257,TCGA-BP-4803-01A-01R-1305-07,4,2
258,TCGA-CJ-4881-01A-01R-1305-07,1,4
259,TCGA-CZ-5455-01A-01R-1503-07,0,1
260,TCGA-CJ-4897-01A-03R-1426-07,0,4
261,TCGA-B0-5107-01A-01R-1420-07,0,1
262,TCGA-BP-4759-01A-01R-1289-07,1,2
263,TCGA-CJ-5671-01A-11R-1541-07,4,2
264,TCGA-B0-4836-01A-01R-1305-07,1,4
265,TCGA-CZ-4864-01A-01R-1503-07,1,4
266,TCGA-AK-3436-01A-02R-1325-07,1,4
267,TCGA-A3-3382-01A-02R-1325-07,4,2
268,TCGA-CZ-5464-01A-01R-1503-07,0,4
269,TCGA-CJ-4634-01A-02R-1325-07,4,2
270,TCGA-BP-5186-01A-01R-1426-07,0,4
271,TCGA-CZ-4856-01A-02R-1426-07,0,4
272,TCGA-B0-4824-01A-01R-1277-07,1,4
273,TCGA-A3-3376-01A-02R-1420-07,4,2
274,TCGA-CJ-4635-01A-02R-1305-07,0,1
275,TCGA-BP-5183-01A-01R-1426-07,0,1
276,TCGA-B8-5163-01A-01R-1420-07,4,4
277,TCGA-CZ-5461-01A-01R-1503-07,1,2
278,TCGA-B0-5701-01A-11R-1541-07,0,4
279,TCGA-B2-5639-01A-01R-1541-07,1,2
280,TCGA-BP-5181-01A-01R-1426-07,1,2
281,TCGA-AK-3431-01A-02R-1277-07,3,2
282,TCGA-B0-4811-01A-01R-1503-07,1,2
283,TCGA-A3-A6NJ-01A-12R-A33J-07,0,1
284,TCGA-BP-5184-01A-01R-1426-07,4,4
285,TCGA-BP-4797-01A-01R-1305-07,1,2
286,TCGA-B8-5553-01A-01R-1541-07,1,2
287,TCGA-BP-4761-01A-01R-1289-07,1,4
288,TCGA-B0-4816-01A-01R-1503-07,4,2
289,TCGA-CZ-4863-01A-01R-1503-07,0,1
290,TCGA-CJ-4894-01A-01R-1305-07,0,1
291,TCGA-CW-5588-01A-01R-1541-07,2,3
292,TCGA-A3-3325-01A-01R-0864-07,4,2
293,TCGA-CJ-4871-01A-01R-1305-07,1,2
294,TCGA-MW-A4EC-01A-11R-A266-07,4,2
295,TCGA-CJ-6028-01A-11R-1672-07,0,4
296,TCGA-BP-4804-01A-02R-1305-07,0,1
297,TCGA-CJ-4912-01A-01R-1426-07,1,4
298,TCGA-CJ-4873-01A-01R-1305-07,4,4
299,TCGA-A3-3358-01A-01R-1541-07,4,2
300,TCGA-CJ-4640-01A-02R-1325-07,0,4
301,TCGA-BP-4762-01A-02R-1289-07,4,2
302,TCGA-CZ-5467-01A-01R-1503-07,1,2
303,TCGA-A3-3363-01A-01R-0864-07,2,3
304,TCGA-CZ-5468-01A-01R-1503-07,3,0
305,TCGA-CZ-5466-01A-01R-1503-07,4,4
306,TCGA-B0-5080-01A-01R-1503-07,1,4
307,TCGA-CZ-4861-01A-01R-1305-07,4,2
308,TCGA-B0-4819-01A-01R-1277-07,0,1
309,TCGA-B0-4710-01A-01R-1503-07,1,4
310,TCGA-B0-5694-01A-11R-1541-07,4,2
311,TCGA-B0-4828-01A-01R-1277-07,1,2
312,TCGA-EU-5905-01A-11R-1672-07,4,2
313,TCGA-CJ-4903-01A-01R-1426-07,0,4
314,TCGA-B0-5698-01A-11R-1672-07,1,2
315,TCGA-B0-4815-01A-01R-1503-07,0,1
316,TCGA-BP-5169-01A-01R-1426-07,1,4
317,TCGA-B0-4700-01A-02R-1541-07,0,1
318,TCGA-CJ-4875-01A-01R-1305-07,0,1
319,TCGA-B0-5115-01A-01R-1420-07,4,2
320,TCGA-B8-5552-01B-11R-1672-07,4,2
321,TCGA-CJ-6027-01A-11R-1672-07,0,1
322,TCGA-BP-4756-01A-01R-1289-07,4,4
323,TCGA-B0-5081-01A-01R-1334-07,1,4
324,TCGA-CW-5589-01A-01R-1541-07,2,3
325,TCGA-BP-4987-01A-01R-1334-07,0,4
326,TCGA-B2-5641-01A-01R-1541-07,0,1
327,TCGA-B0-4833-01A-01R-1305-07,0,1
328,TCGA-CJ-4874-01A-01R-1305-07,0,1
329,TCGA-CJ-4887-01A-01R-1305-07,0,1
330,TCGA-B8-5164-01A-01R-1420-07,0,1
